Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
TFTV_NJ_VEHICLETECH_RESEARCHDEF_BENEFITS,Text,,The breakthrough we have been waiting for! We can now manufacture the Scorpion Impossible Weapon.,,La découverte que nous attendions ! Nous pouvons désormais fabriquer l’arme impossible du Scorpion.,,,,,,
PX_SCORPION_RESEARCHDEF_COMPLETE,Text,,"The ultimate purpose of the Scorpion is to make all forms of armor obsolete. Surprisingly, it seems like Mr. Antonasov’s work has provided a foundational basis for a lot of technologies with practical applications developed first by Vanadium and later New Jericho.

Requires completing Living Crystal and Protean Mutane researches.",,"Le but ultime du Scorpion est de rendre toutes les formes d’armure obsolètes. Étonnamment, il semble que le travail de M. Antonasov ait fourni une base fondamentale à de nombreuses technologies avec des applications pratiques développées d’abord par Vanadium et plus tard par la Nouvelle Jericho.

Nécessite d’effectuer des recherches sur le Cristal Vivant et le Mutane protéiforme.",,,,,,
PX_SCORPION_RESEARCHDEF_NAME,Text,,Scorpion,,Scorpion,,,,,,
PX_SCORPION_RESEARCHDEF_UNLOCK,Text,,This blueprint by renowned rocket engineer John Antonasov is for some sort of long rifle with incredible damage capacity.,,Ce plan du célèbre ingénieur en fusée John Antonasov est pour une sorte de long fusil avec une capacité de pénétration et de dégâts incroyable.,,,,,,
TFTV_SYN_BIONICS3_RESEARCHDEF_BENEFITS,Text,,Cybernetics Lab facility and additional designs. The breakthrough we have been waiting for! We can now manufacture the Scyther Impossible Weapon.,,Installation de laboratoire de cybernétique et conceptions supplémentaires. La percée que nous attendions ! Nous pouvons désormais fabriquer l’arme impossible Scyther.,,,,,,
TFTV_PX_SCYTHER_RESEARCHDEF_COMPLETE,Text,,"According to the notes accompanying the recovered data, Jules Godfry designed the Scyther after his disappointing performance in some sort of corporate ludic e-competition called ""Chaos Reborn 2022 Annual Tournament”. In psychological terms it is the expression of unfathomable anger directed at all things, living and inanimate, though its practical military applications in the real world were doubtful until the appearance of the Pandoran monstrosities.

Unfortunately, elemental safety concerns prevent us from manufacturing the Scyther, a bladed weapon with an area of effect. This weapon requires very fine sensors that can re-balance the weapon while in full swing to avoid harming its wielder. The reaction times demanded of these sensors are beyond what our own technology can provide, but New Jericho’s Project Purity was making strides in the right direction. Perhaps further development of bionics technology will give us the solution we need. Until then, the Scyther remains a dream.

In addition, requires completing Living Crystal and Protean Mutane researches.",,"Selon les notes accompagnant les données récupérées, Jules Godfry a conçu le Scyther après sa performance décevante dans une sorte de compétition électronique ludique d'entreprise appelée ""Tournoi annuel Chaos Reborn 2022"". En termes psychologiques, c'est l'expression d'une colère insondable dirigée contre toutes choses. , vivant et inanimé, bien que ses applications militaires pratiques dans le monde réel étaient douteuses jusqu'à l'apparition des monstruosités Pandoriennes.

Malheureusement, des problèmes de sécurité élémentaires nous empêchent de fabriquer le Scyther, une arme blanche dotée d'une zone d'effet. Cette arme nécessite des capteurs très fins qui peuvent rééquilibrer l'arme en pleine action pour éviter de blesser son porteur. Les temps de réaction exigés de ces capteurs dépassent ce que notre propre technologie peut fournir, mais le projet Purity de New Jericho faisait des progrès dans la bonne direction. Peut-être que le développement ultérieur de la technologie bionique nous apportera la solution dont nous avons besoin. En attendant, le Scyther reste un rêve.

De plus, cela nécessite de terminer les recherches sur le Cristal Vivant et le Mutane protéiforme.",,,,,,
PX_SCYTHER_RESEARCHDEF_COMPLETE,Text,,"According to the notes accompanying the recovered data, Jules Godfry designed the Scyther after his disappointing performance in some sort of corporate ludic e-competition called ""Chaos Reborn 2022 Annual Tournament"". In psychological terms it is the expression of unfathomable anger directed at all things, living and inanimate, though its practical military applications in the real world were doubtful until the appearance of the Pandoran monstrosities.

Requires completing Living Crystal and Protean Mutane researches.",,"Selon les notes accompagnant les données récupérées, Jules Godfry a conçu le Scyther après sa performance décevante dans une sorte de compétition électronique ludique d'entreprise appelée ""Tournoi annuel Chaos Reborn 2022"". En termes psychologiques, c'est l'expression d'une colère insondable dirigée contre toutes choses, vivantes et inanimées, bien que ses applications militaires pratiques dans le monde réel étaient douteuses jusqu'à l'apparition des monstruosités Pandoriennes.

Nécessite d’effectuer des recherches sur le Cristal Vivant et le Mutane protéiforme.",,,,,,
PX_SCYTHER_RESEARCHDEF_NAME,Text,,Scyther,,Faucille,,,,,,
PX_SCYTHER_RESEARCHDEF_UNLOCK,Text,,"A curious design by Jules Godfry, head of NG+ Weapon Systems at Vanadium, that looks like an electro blade powered by a miniaturized fusion reactor.",,"Une curieuse conception de Jules Godfry, responsable des systèmes d'armes NG+ chez Vanadium, qui ressemble à une électro-lame alimentée par un réacteur à fusion miniaturisé.",,,,,,
TFTV_ANU_ADVANCEDINFECTIONTECH_RESEARCHDEF_BENEFITS,Text,,The breakthrough we have been waiting for! We can now manufacture the Shardgun Impossible Weapon.,,La percée que nous attendions ! Nous pouvons désormais fabriquer l’arme impossible Shardgun.,,,,,,
TFTV_PX_SHARDGUN_RESEARCHDEF_COMPLETE,Text,,"The Shard Gun is perhaps the less theoretically impressive of the NG+ Weapon Systems designs. But what it lacks in mathematical panache, it compensates in sheer effectiveness; in the words of its promoter, Emmanuel ""SG"" Erickson, ""it will be a bad*** shotgun that will **** you up, you trespassing ***********"" (Mr. Erickson's streams were notable for their profanity. They tragically ended at the beginning of the First Mist, when a Triton invaded Emmanuel's Malibu beachfront, ironically vindicating the streamer's plea for a next generation home defense weapon).

A crucial aspect of this weapon's design is that the shards must deliver a nerve agent that will demoralize the target on impact. Surely the Disciples of Anu must be working on some advanced technology for their ""Priest"" class operatives that we can advantage of to finally make the Shard Gun a reality. 

In addition, requires completing Living Crystal and Protean Mutane researches.",,"Le Shard Gun est peut-être le moins impressionnant théoriquement des conceptions de systèmes d’armes NG+. Mais ce qui lui manque en panache mathématique, il le compense par sa pure efficacité ; selon les mots de son promoteur, Emmanuel ""SG"" Erickson, ""ce sera un mauvais fusil de chasse qui vous fera chier, espèce d'intrus ***********"" (M. Erickson's (les streams étaient remarquables pour leurs grossièretés. Ils se sont tragiquement terminés au début de la Première Brume, lorsqu'un Triton a envahi le front de mer d'Emmanuel à Malibu, confirmant ironiquement le plaidoyer du streamer en faveur d'une arme de défense intérieure de nouvelle génération).

Un aspect crucial de la conception de cette arme est que les éclats doivent libérer un agent neurotoxique qui démoralisera la cible à l'impact. Les Disciples d'Anu doivent sûrement travailler sur une technologie avancée pour leurs agents de classe ""Prêtre"" dont nous pouvons tirer parti pour enfin faire du Shard Gun une réalité.

De plus, cela nécessite de terminer les recherches sur le Cristal Vivant et le Mutane protéiforme.",,,,,,
PX_SHARDGUN_RESEARCHDEF_COMPLETE,Text,,"The Shard Gun is perhaps the less theoretically impressive of the NG+ Weapon Systems designs. But what it lacks in mathematical panache, it compensates in sheer effectiveness; in the words of its promoter, Emmanuel ""SG"" Erickson, ""it will be a bad*** shotgun that will **** you up, you trespassing ***********"" (Mr. Erickson's streams were notable for their profanity. They tragically ended at the beginning of the First Mist, when a Triton invaded Emmanuel's Malibu beachfront, ironically vindicating the streamer's plea for a next generation home defense weapon).

Requires completing Living Crystal and Protean Mutane researches.",,"Le Shard Gun est peut-être le moins impressionnant théoriquement des conceptions de systèmes d’armes NG+. Mais ce qui lui manque en panache mathématique, il le compense par sa pure efficacité ; selon les mots de son promoteur, Emmanuel ""SG"" Erickson, ""ce sera un mauvais fusil de chasse qui vous fera chier, espèce d'intrus ***********"" (M. Erickson's (les streams étaient remarquables pour leurs grossièretés. Ils se sont tragiquement terminés au début de la Première Brume, lorsqu'un Triton a envahi le front de mer d'Emmanuel à Malibu, confirmant ironiquement le plaidoyer du streamer en faveur d'une arme de défense intérieure de nouvelle génération).

Nécessite d’effectuer des recherches sur le Cristal Vivant et le Mutane protéiforme.",,,,,,
PX_SHARDGUN_RESEARCHDEF_NAME,Text,,Shard Gun,,Pistolet à éclats,,,,,,
PX_SHARDGUN_RESEARCHDEF_UNLOCK,Text,,"Emmanuel ""Shotgun"" Erickson, publicist, streaming celebrity and the face of NG+ Weapon Systems, advertised the work of his team as ""the next generation home defense weapons against next generation home invaders"".",,"Emmanuel ""Shotgun"" Erickson, publiciste, célébrité du streaming et visage de NG+ Weapon Systems, a présenté le travail de son équipe comme ""les armes de défense intérieure de nouvelle génération contre les envahisseurs domestiques de nouvelle génération"".",,,,,,
KEY_FS_SYN_HYBERNATION_PODS_MODULE_RESEARCHDEF_BENEFITS,Text,,First Assault Recon (FAR) module is available for production,,Le module First Assault Recon (FAR) est disponible pour la production,,,,,,
KEY_FS_SYN_HYBERNATION_PODS_MODULE_RESEARCHDEF_COMPLETE,Text,,"The First Assault Recon (FAR) module was conceived to give the Manticore a personnel transport, insertion and evacuation role, but thanks to its modular design it can be fitted on any craft to increase its passenger capacity. In addition, the FAR module accelerates recuperation from combat fatigue: targeted alterations in the ordinary metabolic processes of our operatives are introduced via a complex drug cocktail, external sensory stimulus and direct brain-wave manipulation.",,"Le module First Assault Recon (FAR) a été conçu pour donner au Manticore un rôle de transport, d'insertion et d'évacuation de personnel, mais grâce à sa conception modulaire, il peut être installé sur n'importe quel engin pour augmenter sa capacité en passagers. De plus, le module FAR accélère la récupération après la fatigue du combat : des modifications ciblées des processus métaboliques ordinaires de nos agents sont introduites via un cocktail de médicaments complexe, un stimulus sensoriel externe et une manipulation directe des ondes cérébrales.",,,,,,
KEY_FS_SYN_HYBERNATION_PODS_MODULE_RESEARCHDEF_NAME,Text,,First Assault Recon (FAR) Module,,Module de reconnaissance de premier assaut (FAR),,,,,,
KEY_FS_SYN_HYBERNATION_PODS_MODULE_RESEARCHDEF_UNLOCK,Text,,"Among the Phoenix Archives we have found the original designs for the First Assault Recon (FAR) Module, to carry up to four additional operatives in any aircraft. The FAR module also allows soldiers to effectively rest and recuperate mid-air.",,"Parmi les archives de Phoenix, nous avons trouvé les conceptions originales du module First Assault Recon (FAR), permettant de transporter jusqu'à quatre agents supplémentaires dans n'importe quel avion. Le module FAR permet également aux soldats de se reposer et de récupérer efficacement en vol.",,,,,,
ALN_CRABMANUMBRA_RESEARCHDEF_COMPLETE,Text,,"""What are they? You ask me, but I do not know; there is nothing in them to sequence. Perhaps you should talk to Martika the Priest... These 'purple shadows' our warriors speak of sound like her field of expertise.""

- Kalus, a Disciple gene-smith

""Our soldiers are under immense stress, not to mention the drug cocktail and direct cortical stimulation administered to them on a constant basis. If one or two of them start seeing 'oil monsters', I say it's a tolerable side effect.""

- Dr. Abongameli Smith, New Jericho",,"""Que sont-elles ? Vous me le demandez, mais je ne le sais pas. Il n'y a rien à analyser en eux. Peut-être devriez-vous parler à Martika la Prêtresse... Ces 'ombres violettes' dont parlent nos guerriers semblent être son domaine d'expertise.""

- Kalus, un disciple généticien

""Nos soldats sont soumis à un stress immense, sans parler du cocktail de drogues et de la stimulation corticale directe qui leur sont administrés en permanence. Si un ou deux d'entre eux commencent à voir des 'monstres de pétrole', je dis que c'est un effet secondaire tolérable.""

- Dr. Abongameli Smith, Nouvelle Jericho",,,,,,
ALN_CRABMANUMBRA_RESEARCHDEF_NAME,Text,,ARTHRON UMBRA,,ARTHRON UMBRA,,,,,,
ALN_FISHMANUMBRA_RESEARCHDEF_COMPLETE,Text,,"""It grew from the fishman’s pool of blood in the ground... Like water from a spigot... flowing in reverse. I shot it! We all shot it, we emptied our mags into the fragging thing!... Then it just melted... There was nothing left... I don't know what got the rest of the squad, maybe there was more of... those things, maybe it was the regular crabbies. I lost it, I ran away, never looking back.""

- Citizen Brackman, sole survivor of recon team Echo, Synedrion 

""Oh, but the Umbra are quite real, I assure you. Why wouldn't they be, when we live in the age of horrors?"" 

- Alistair Ashby, Phoenix Project",,"""Il a grandi à partir de la mare de sang du pêcheur au sol... Comme l'eau d'un robinet... coulant à l'envers. Je l'ai tué ! Nous avons tous tiré, nous avons vidé nos chargeurs dans cette chose fragile !... Puis il a juste fondu... Il n'y avait plus rien... Je ne sais pas ce qui a eu le reste de l'équipe, peut-être qu'il y avait plus de... ces choses, peut-être que c'était les Crabbies habituels. Je les ai perdu, je me suis enfui, sans jamais regarder en arrière.""

- Citoyen Brackman, seul survivant de l'équipe de reconnaissance Echo, Synedrion

""Oh, mais les Ombres sont bien réelles, je vous assure. Pourquoi ne le seraient-ils pas, alors que nous vivons dans l'âge des horreurs ?""

- Alistair Ashby, Projet Phoenix",,,,,,
ALN_FISHMANUMBRA_RESEARCHDEF_NAME,Text,,TRITON UMBRA,,OMBRE TRITON,,,,,,
TFTV_BIONICS_RESEARCHDEF_COMPLETE,Text,,"<i>""Which brings us back to Project Purity... This PV strain is even worse than the previous ones. In the Second Mist, we knew the human from the abomination. But now... We all have those nightmares. The chems may dull them, but they never go away. Even West has them, I'm sure. We don't fully understand how or why it happens, but the correlation is undeniable: the users of substantial bionic prosthetics are outperforming their non-augmented peers in psycho-evaluations by 30 to 60 percent. It's the opposite of what we expected! Want another interesting data point? They dream less.""</i>

- Dr. Abongameli Smith, New Jericho

Vastly improved from the first New Jericho attempts, the technology no longer leaves the subjects dead or crippled. A new set of bio-implants have successfully been developed thanks to advancements in neural co-processors and light metal alloy development. The new implants allow personnel to withstand heavy amounts of damage, land safely from great heights, and even run through walls if needed.",,"<i>""Ce qui nous ramène au Projet Pureté... Cette souche de Pandoravirus est encore pire que les précédentes. Dans la seconde brume, nous savions distinguer l'humain de l'abomination. Mais maintenant, nous avons tous ces cauchemars. Les médicaments peuvent les atténuer, mais ils ne disparaissent jamais.  Même West en a, j'en suis sûr. Nous ne comprenons pas entièrement comment ou pourquoi cela se produit, mais la corrélation est indéniable : les utilisateurs de prothèses bioniques majeures ont des performances supérieures de 30 à 60 % à celles de leurs pairs non équipés dans les évaluations psychologiques. C'est le contraire de ce a quoi nous nous attendions ! Vous voulez un autre point de données intéressant ? Ils rêvent moins.""</i>

- Dr. Abongameli Smith, Nouvelle Jericho

Largement améliorée par rapport aux premières tentatives de la Nouvelle Jericho, la technologie bionique ne laisse plus les sujets morts ou estropiés. Une nouvelle série de bio-implants a été développée avec succès grâce à des avancées dans les coprocesseurs neuronaux et le développement d'alliages de métaux légers. Ces nouveaux implants permettent au personnel de résister à des dommages importants, d'atterrir en toute sécurité depuis de grandes hauteurs et même de traverser les murs si nécessaire.",,,,,,
TFTV_MUTATIONTECH_RESEARCHDEF_COMPLETE,Text,,"<i>""Those that partake of the Waters of Life say that, as their dreams become more vivid, their waking life becomes more dreamlike, till they know not when they are asleep and when they are awake. And always they feel most capable of incredible feats of arms and of vanquishing their enemies. I'm exhilarated by their confidence, yet I also fear their brutality.""</i>

- Neophyte Ryodik, Disciples of Anu 

This technology represents a first step towards mastering the mutation mechanics of the Pandoravirus. Test subjects have been injected with modified strains of the infection under carefully-controlled conditions, and with the additional of a chemical cocktail intended to keep the virus from asserting control over the subject. 

The process is still experimental and there may be some side effects, but the potential benefits to our soldiers are worth the risk.",,"<i>""Ceux qui prennent part aux Eaux de la Vie disent que, à mesure que leurs rêves deviennent plus vifs, leur vie éveillée devient plus onirique, jusqu'à ce qu'ils ne sachent plus quand ils dorment et quand ils sont éveillés. Et ils se sentent capables d'incroyables faits d'armes et de vaincre leurs ennemis. Je suis exalté par leur confiance, mais je crains aussi leur brutalité.""</i>

- Néophyte Ryodik, Disciples d'Anu

Cette technologie représente un premier pas vers la maîtrise des mécanismes de mutation du pandoravirus. Des sujets d'essai ont été injectés avec des souches modifiées de l'infection dans des conditions soigneusement contrôlées, et avec l'ajout d'un cocktail chimique destiné à empêcher le virus de prendre le contrôle du sujet.

Le processus est encore expérimental et il peut y avoir des effets secondaires, mais les avantages potentiels pour nos soldats en valent la peine.",,,,,,
PX_REVENANT_LIVE_RESEARCH_TITLE,Text,,Captured Revenant,,Revenant capturé,,,,,,
PX_REVENANT_LIVE_RESEARCH_REVEAL,Text,,"The operatives who captured this creature claim that it is a former comrade, returned as a Pandoran monstrosity. We should examine it as soon as possible.",,"Les agents qui ont capturé cette créature prétendent que c'est un ancien camarade, revenu sous la forme d'une monstruosité pandorienne. Nous devrions l'examiner dès que possible.",,,,,,
PX_REVENANT_LIVE_RESEARCH_COMPLETE,Text,,"There is no room for doubt: this creature is, or used to be one of our operatives. What has been done to our friend and how... I would rather not try to imagine it. I wanted to hope that there was no shred of consciousness of the former self left in that monstrosity, but... I could swear it recognized me.

There is nothing we can do for our comrade now, and I'm afraid that killing it won't provide any release. We might encounter it again and again: the Pandorans splice and clone their victims ad infinitum.

We have to defeat the Pandoravirus once and for all. It's the only way to be sure.",,"Il n'y a pas de place pour le doute : cette créature est, ou était, un de nos agents. Ce qui a été fait à notre ami et comment... Je préfère ne pas essayer de l'imaginer. Je voulais espérer qu'il ne restait aucune trace de conscience de l'ancienne personne dans cette monstruosité, mais... Je pourrais jurer qu'elle m'a reconnu.

Il n'y a rien que nous puissions faire pour notre camarade maintenant, et j'ai peur que le tuer ne nous libère en rien. Nous pourrions le rencontrer encore et encore : les Pandoriens dédoublent et clonent leurs victimes à l'infini.

Nous devons vaincre le Pandoravirus une fois pour toutes. C'est le seul moyen d'en être sûr.",,,,,,
PX_REVENANT_LIVE_RESEARCH_BENEFITS,Text,,Killing or capturing Revenants may grant access to additional research,,Tuer ou capturer des Revenants peut donner accès à des recherches supplémentaires,,,,,,
PX_PROJECT_OSIRIS_TITLE,Text,,Project Osiris,,Projet Osiris,,,,,,
PX_PROJECT_OSIRIS_REVEAL,Text,,Defeating Revenants in the field has brought us closer to understanding how they are created. We may yet harness this knowledge in the war for the future of our species.,,Vaincre les Revenants sur le terrain nous a permis de mieux comprendre comment ils sont créés. Nous pouvons encore exploiter ces connaissances dans la guerre pour l’avenir de notre espèce.,,,,,,
PX_PROJECT_OSIRIS_COMPLETE,Text,,"The Pandorans use the Oneiric Delirium to tap into our consciousness and partially replicate it. 

At first we assumed that they could only access information stored in our genes. However, subsequent encounters with Revenants demonstrated that they retained memories of their former lives. Furthermore, we have evidence that the act of remembering triggers an emotional response in them. 

All this leads us to conclude that the Oneiric Delirium taps into a variety of data streams or information centers of the infected. It's a process that we cannot even begin to understand, even as it puts into question our basic notions of consciousness. 

Nevertheless, we have managed to extract some practical applications from our research into Revenants. We believe we are  now capable of sometimes saving critically wounded operatives by giving them new, artificial bodies.",,"Les Pandoriens utilisent le Délirium onirique pour puiser dans notre conscience et la répliquer partiellement.

Au début, nous avons supposé qu'ils ne pouvaient accéder qu'aux informations stockées dans nos gènes. Cependant, des rencontres ultérieures avec des Revenants ont démontré qu'ils conservaient des souvenirs de leurs vies antérieures. De plus, nous avons la preuve que l'acte de se souvenir déclenche une réponse émotionnelle chez eux.

Tout cela nous amène à conclure que le Délirium onirique puise dans une variété de flux de données ou de centres d'information des infectés. C'est un processus que nous ne pouvons même pas commencer à comprendre, même s'il remet en question nos notions de base de la conscience.

Néanmoins, nous avons réussi à extraire quelques applications pratiques de nos recherches sur les Revenants. Nous pensons que nous sommes maintenant capables de sauver parfois des agents gravement blessés en leur donnant de nouveaux corps artificiels.",,,,,,
PX_PROJECT_OSIRIS_BENEFITS,Text,,"With a mutation and/or a bionic lab, a Phoenix KIA operative may be given a new lease on life. Limited to one deceased operative per mission. Chances are highest for the more experienced operatives.",,"Avec une mutation et/ou un laboratoire bionique, un agent de Phoenix KIA pourrait avoir une nouvelle vie. Limité à un agent décédé par mission. Les chances sont les plus élevées pour les agents les plus expérimentés.",,,,,,
PX_ANTEDILUVIANARCHAEOLOGY_RESEARCHDEF_COMPLETE,Text,,"<i>""Our planet is over 4.5 billion years old. Pre-collapse, no more than 3% of Earth's surface was urbanized. Dinosaurs lived on Earth for about 165 million years, going extinct some 65 million years ago. In a little over two centuries we found around 11,000 Dinosaur bones, which comes to one bone for every 15,000 years they spent on our planet. 

Do the math, Tobias... A million years from now someone might be proposing 'crackpot theories' suggesting that something like our civilization might have existed.""</i>

- Dr Helena Lewandowski

Over the past decades, the melting permafrost and the ecological changes wrought by the Pandoravirus have brought to the surface sites long hidden by sediment and water. With the help of Dr. Helena we have devised a scanner probe which can be produced in the Archaeology Facility. When launched from one of our aircraft, it can detect anomalies pointing to promising archaeological sites. Then, the hazardous process of exploration can begin.
",,"<i>""Notre planète a plus de 4,5 milliards d'années. Avant l'effondrement, pas plus de 3 % de la surface de la Terre était urbanisée. Les dinosaures ont vécu sur Terre pendant environ 165 millions d'années et ont disparu il y a environ 65 millions d'années. En un peu plus de En deux siècles, nous avons trouvé environ 11 000 os de dinosaures, soit un os tous les 15 000 ans passés sur notre planète.

Faites le calcul, Tobias... Dans un million d'années, quelqu'un pourrait proposer des ""théories farfelues"" suggérant que quelque chose comme notre civilisation aurait pu exister.""</i>

- Dr Helena Lewandowski

Au cours des dernières décennies, la fonte du pergélisol et les changements écologiques provoqués par le Pandoravirus ont fait remonter à la surface des sites longtemps cachés par les sédiments et l’eau. Avec l'aide du Dr Helena, nous avons conçu une sonde scanner qui peut être produite dans le centre d'archéologie. Lancée depuis l'un de nos avions, elle peut détecter des anomalies pointant vers des sites archéologiques prometteurs. Le dangereux processus d’exploration peut alors commencer.",,,,,,
PX_ANTEDILUVIANARCHAEOLOGY_RESEARCHDEF_UNLOCK,Text,,"Pre-Collapse there had been many attempts to find evidence of advanced precursor civilizations on Earth. Could those out-of-place artifacts have been real? What was behind the myths of Atlantis and of the Great Flood? If we want to learn the truth, we must pursue a more scientific approach.",,"Avant l’effondrement, de nombreuses tentatives avaient été menées pour trouver des preuves de civilisations précurseurs avancées sur Terre. Ces artefacts déplacés auraient-ils pu être réels ? Qu’y a-t-il derrière les mythes de l’Atlantide et du Grand Déluge ? Si nous voulons connaître la vérité, nous devons adopter une approche plus scientifique.",,,,,,
AUTOMATA_RESEARCH_TITLE,Text,,Ancient Automata,,Automates anciens,,,,,,
AUTOMATA_RESEARCH_REVEAL,Text,,"

We have retrieved the remains of the automata that we encountered at the site. We should analyze them immediately.",,Nous avons récupéré les restes des automates rencontrés sur le site. Nous devrions les analyser immédiatement.,,,,,,
